clean_text,label_prediksi
daftar enam pemain timnas indonesia yang dicoret saat lawan arab saudi,negatif
skenario timnas indonesia lolos ke piala dunia lawan jay idzes cs selanjutnya irak via,positif
kabar pemecatan shin oleh ulsan hd ini langsung merebak di media sosial tanah air instagram klub berjuluk the tigers tersebut langsung diserbu oleh warganet indonesia timnasgas,negatif
iyap bener kalo tanpa dicurangin wasit timnas indonesia dipegang sty bisa poin apalagi kalo ditambah ole romeny mungkin bisa lebih poinnya,positif
alasan patrick kluivert mencoret enam pemain termasuk calvin verdonk pada laga krusial timnas indonesia melawan arab saudi di kualifikasi piala dunia gol kevin diks clean sheet maarten paes timnasday fifaworldcup update news seketika,negatif
skenario timnas indonesia lolos piala dunia bahkan bertatus juara grup,negatif
kok kemana mana padahal udah jelas kalau masyarakat kelas ekonomi menengah kebawah yang selama ini menghidupi ekosistem sepakbola usia muda di indonesia sangat kesulitan mengikuti standar egois amp gak napak tanah dari sipaling fans timnas yg gak mikir kesulitan yg mereka alami,positif
pusing dia pak pres mikirin pemain judi jadi pelatih timnas indonesia,negatif
lah kan yang mempermasalahkan pakem itu kan fandom pelatih itu pssi gak masalah mereka yang aktif di ekosistem sepakbola usia muda indonesia gak mempermasalahkan itu kan kalian jadi biang keributannya dengan tuntutan yang egois serta tak napak tanah dengan realitas yang ada,positif
cek jersey timnas indonesia grade ori dengan harga rp dapatkan di shopee sekarang,positif
iya kok coach na menutup ketidakfamilaran itu dengan memperluas national pool timnas indonesia u hingga turun langsung memantau pemain di kejuaraan sepakbola usia muda swasta yang tersedia meskipun konsekuensinya yaitu sulitnya fullback klasik terpantau masuk timnas u,positif
kata marc klok pertandingan melawan arab saudi tidak mudah ia mengupload sebuah momen foto bersama skuad timnas indonesia di instagram story pada kamis timnasgas,negatif
timnas indonesia bukan hanya harapan rakyat indonesia juga harapan warga asean ada wakil asean masuk piala dunia itu kebanggan asean,positif
iyaa om ihsan fandi the real striker yg era sekarang gak dimiliki indonesia mungkin kalo di timnas saat ini ada ihsan sebagai striker akan lebih kuat,positif
untung ada maarten paes dan ole romeny kalau enggak bisabisa timnas indonesia,negatif
tingkat desakelurahan punya jam pertemuan yang padat dan tidak tergantung jadwal pendidikan formal kalau gk ya wajar jangan terlalu menuntut masyarakat kelas ekonomi menengah kebawah di sepakbola usia muda di indonesia tuk memenuhi standar sipaling fans timnas kayak elu pada,positif
di tengah mungkin keprihatinan soal timnas juga kondisi indonesia lalu kondisi palestina dengan segala dukanya kadang suka heran kok yoo bisa ada orang yang punya tenaga pikiran dan ngurusin isumasalah perceraian rumah tangga artis,positif
timnas indonesia,negatif
mantan pelatih timnas indonesia shin taeyong resmi dipecat dari posisinya sebagai pelatih ulsan hd setelah hanya dua bulan menjabat,negatif
pelatih timnas indonesia patrick kluivert memuji maarten paes dan ole romeny yang tampil memuaskan dalam laga melawan arab saudi di stadion king abdullah sport city jeddah kamis,negatif
timnas futsal putra asean futsal championship thailand juara asean cup women amp juara dunia efootball timnas futsal putri indonesia lolos piala asia futsal pi pencak silat abu dhabi amp juara dunia world junior championship wsl di filipina peselancar bronson m,negatif
pengurus besar ikatan pencak silat seluruh indonesia pb ipsi menerjunkan atlet anggota tim nasional pencak silat untuk menjalani tes prakompetisi sea games di hat yai thailand,positif
timnas indonesia harus bangkit patrick kluivert harap calvin verdonk main lawan irak,positif
timnas indonesia rusak sama orang yang fetish nya sama pelatih belanda,negatif
jelang sea games timnas u indonesia akan menjalani uji coba melawan india di stadion madya senayan jakarta pada dan oktober selengkapnya,negatif
lagian kok ada gitu supporter yg timnasnya ganti mulai myanmar timnas persib filipina sekarang ikutan jadi timnas indonesia besoknya timnasnya irak timnas mah aja gitu ngapain ganti,positif
shin taeyong dipecat ulsan hd warganet meminta ia kembali melatih timnas indonesia jatimnews sepakbola shintaeyong ulsanhd timnasindonesia korea,negatif
hinaan dan cacian tak henti henti dilantunkan seluruh supporter timnas indonesia entah amal apa yang kau perbuat,negatif
udahlah pecat itu petrick kluivert strategi beknya gak jelas lineupnya kacau pergantian pemain juga aneh kasih ke alex pastor tangani timnas indonesia formasi lebih pas dgn komposisi pemain timnas indo,negatif
pecat pelatih kluivert ganti sama shin ta young lawan irak soalnya pelatih kluivert ga tulus untuk timnas indonesia,positif
indra sjafri ultimatum timnas indonesia u mereka tim kuat,negatif
kebanyakan fans di indonesia masih dilandasi klub sih apa pasti yg dibawa klubnya susah gw dari kemarin kritik ke pemainnya langsung karena kalo udh di timnas mah gaada urusan sama klub,positif
artis sekaligus kekasih justin hubner jennifer coppen membagikan pengalaman tak menyenangkan saat menonton laga timnas indonesia vs arab saudi di stadion king abdullah sports city jeddah kamis dalam video di akun instagram pribadinya jennifer mengungkap dirinya,negatif
logikanya ngaco aja emang ini timnas woy bukan klub dimanamana timnas ya gitu waktu latihannya sedikit kalo mau tim yg latihannya lama mah lu ambilnya job latih klub lah lu malah ambil job latih timnas apalagi timnas indonesia goblok aja,positif
hari ini sty dipecat ulsan hd semoga direkrut timnas indonesia,negatif
sty pelatih super spesialis menag ini ini sengaja melatih malas maalsan agak bisa latih timnas indonesia lagi yakin itu,positif
timnas mobile legends siap harumkan indonesia di kejuaraan dunia iesf,positif
tapi agak kasian sih klo berkaca sama respon yang didapat ganjar dulu soalnya yang dia larang itu cabor kesayangan orang indonesia langsung kena framing ini itu dari si paling timnas sampai elektabilitasnya anjlok wkwkwk,positif
timnas indonesia menatap laga keduanya di grup b ronde keempat kualifikasi piala dunia zona asia melawan irak timnasindonesia,negatif
kevin diks tetap menunjukkan semangat juang tinggi jelang laga penting kontra irak meski mengakui situasi emosional yang tak mudah ia meminta seluruh pendukung timnas indonesia untuk tetap positif dan percaya hingga peluit akhir berbunyi,positif
tavares untuk timnas indonesia,positif
udah balik aja ke timnas indonesia herve renard aja x ngelatih arab saudi,negatif
bedah kekuatan pemain timnas irak calon lawan indonesia di piala dunia teror aymen hussein lewat,positif
timnas indonesia masih berjuang shin taeyong dipecat ulsan dua dunia yang berbeda sty timnasindonesia shintaeyong pssi,negatif
prediksi indonesia vs irak ini kata pelatih timnas kluivert,positif
silahkan bela klub lokal tp kalo pas timnas main mbok ya udh jangan bawa kedaerahan jadi indonesia gitu loh ini malah pada ribut sendiri trus nyalahin pemain masalahnya bukan disitu,positif
sepak bola arab saudi belakangan memang menarik perhatian mereka membentuk liga yang menjadi salah satu tujuan utama banyak bintang dunia timnas,negatif
ieu urusan timnas can beres keneh wae hahaha ayeuna urg bener nyadar kunaon nepi detik ieu timnas hese maju komo timnas versi et ieu terlalu menina bobokan supporterfans lolos pildun tanpa membenarkan road map sepak bola indonesia geus paling bner bola mah hiburan weh,positif
balikin lagi shin sajangnim ke timnas indonesia,negatif
maksimalkan atau singkirkan mereka gak usah main di timnas ku tanpa mikir seberapa berat perjuangan dari kelas ekonomi menengah kebawah di ekosistem sepakbola usia muda di indonesia,positif
dulu suporternya punya timnas persib eh sekarang dukung timnas indonesia karena pemainnya dipanggil dipanggil malah beban negara,negatif
di indonesia itu punya lisensi kepelatihan yang sesuai dengan standar sipaling fans timnas kayak kalian apa lapangan nya udah sesuai dengan standar sipaling fans timnas kayak kalian apa memungkinkan untuk menggelar latihan lebih banyak dan lebih intens untuk beberapa,positif
di satu sisi gwh pengen liat timnas indonesia lolos pildun tapi di satu sisi gua muak kalo indonesia lolos pildun pasti pada ribet tu yee pejabatpejabat kita seolaholah die pahlawan yang sebenarnya,positif
nonton timnas indonesia asuhan kluipert yang penting capek,positif
yakob sayuri menjadi titik lemah timnas indonesia kala takluk dari timnas arab saudi di kualifikasi piala dunia yakob menjadi pelaku pelanggaran pada menit ke saat ia menjatuhkan penyerang arab saudi di kotak penalti,negatif
ya tuhan minta indonesia masuk piala dunia dan kembalikan bubarkan orang khususnya si aria sinulingga,positif
lagulagu atau apapun terkait jeketi pasti relate waktu itu belalang yang membangkang dalam momen indonesia darurat sekarang judul setlist theater pertaruhan cinta malah diaplikasikan ke timnas dengan pertaruhan lineup cobacoba,positif
setelah melewati laga dengan hasil kurang memuaskan ulsan hyundai resmi memecat mantan pelatih timnas indonesia tersebut shintaeyong,negatif
proses naturalisasi sudah ada sebelum et tetapi meng highlight pemain eropa berjubel datang ke indonesia emang jaman diatetapi menganggap hanya et yg bisa bawa perubahan gw ga setuju juga karena berarti kita mengkerdilkan orang lain yg mungkin bisa bawa timnas ke level lebih,positif
skenario dan hitunghitungan peluang timnas indonesia untuk lolos ke piala dunia zona asia lewat putaran kini menjadi perhatian timnasindonesia pialadunia,negatif
susunan pemain timnas indonesia vs irak ronde kualifikasi piala dunia ole romeny starter baca,negatif
masih dukung timnas indonesia,negatif
hanya orang yang gak pernah turun melihat bagaimana ssbakademi di sekitarnya berjuang yang sanggup menghina seluruh usaha dari masyarakat kelas menengah kebawah di ekosistem sepakbola usia muda di indonesia dengan sebutan skill issue puncak fasisme dari sipaling fans timnas,positif
jelang laga timnas indonesia melawan india ini komentar indra sjafri tentang kapten timnas u,negatif
justin hubner minta maaf atas unggahannya minta publik fokus ke laga timnas indonesia lawan irak pemain timnas indonesia justin hubner menyampaikan permohonan maaf atas tindakannya karena mengunggah ulang unggahan kekasihnya jennifer coppen pasca pertandingan kualifikasi,negatif
daftar negara lolos ke piala dunia timnas indonesia menyusul,negatif
timnas indonesia harus mengakui keunggulan timnas arab saudi dengan skor pada laga pertama grup b putaran keempat kualifikasi piala dunia zona asia timnasindonesia pialadunia,negatif
sebuah analisa dan penilaian yg menarik soal timnas indonesia,positif
lo gak tau yahh dia analis timnas indonesia,positif
ngajak anakanak kenalan dulu dengan weighlifting siapa tau mau meneruskan olahraga yg berprestasi bagi indonesia ini cc ke ketum pssi eh menpora,negatif
timnas indonesia u mulai mematangkan persiapan menjelang sea games di thailand dengan dua laga uji coba melawan india pertandingan pertama akan digelar jumat diikuti laga kedua pada senin di stadion madya gbk jakarta,negatif
timnas indonesia mengawali perjalanan di babak keempat kualifikasi piala dunia zona asia dengan hasil yang mengecewakan timnasindonesia paialdunia,negatif
ga asik banget timnas sekarang pemain speak up dikit abis itu hapus postingan lalu klarifikasi rill rakyat indonesia semua di bungkam,positif
hah berarti sama saja lu mau bilang kalau masyarakat kelas menengah kebawah gak usah mau ngurus sepakbola usia muda di indonesia kalau gak bisa memuaskan standar sipaling timnas apalagi sampai berharap pemainya terpantau timnas lewat soeratin atau seleksi nasional egois amat,positif
tolong ke timnas indonesia lagi sty,negatif
eksklusif kluivert ungkap kesulitan timnas indonesia pemain abroad minim waktu berlatih bersama,negatif
betapa mewahnya hotel timnas indonesia di jeddah menginap di tepi laut merah dengan fasilitas kelas dunia,negatif
ya selamat saudi indonesia banyak pemain top yg siap tempur tapi problem terbesar dari dulu itu adalah pelatihnya yg suka aneh gak sty gak klupet sama saja kasian pemain yg sdh matian berkorban saya mau usul saja buat pssi dan pak prabowo kita g usah pakai pelatih,positif
international break jadi gk nonton liverpool yg lagi tolol tapi nonton timnas indonesia yg udah gk dilatih shin tae yong dan f libur,negatif
peak fasisme dari sipaling timnas indonesia menyebut masyarakat kelas ekonomi menengah kebawah yang selama ini berjuang sendirian dengan urunan di sepakbola usia muda di indonesia dengan sebutan skill issue saja mereka sanggup kok,positif
kayanya sty juga gamon sama timnas indonesia,negatif
percayatidak dibawah kepemimpinan pelatih sty amp ketua et timnas indonesia senior amp ku terkait kualitasnya diakui betul tdk hanya d asean tp dunia memang ad naik turun tp kebanyakan naiknya sayangnya kedua belah pihak tdk mau bekerjasama kembali penurunan jelas terjadi,negatif
timnas indonesia juga tahun gelar,positif
tahun almarhum gus dur pernah du tanya oleh wartawan kapan timnas indonesia bisa masuk piala dunia gus di jawab oleh gus dur tahun lagi itu jawaban yg mengandung doa dari seorang mantan presiden ri ketika itu semoga bisa di kabulkan oleh tuhan yang maha kuasa,positif
adidas akan menandatangani kesepakatan dengan timnas indonesia jika dikonfirmasi kesepakatan ini akan menandai kembalinya adidas ke timnas indonesia untuk pertama kalinya dalam puluhan tahun erspo yang kontraknya berlaku hingga februari adidas pssi timnasindonesia,positif
pelatih arab saudi herve renard mengakui bahwa timnas indonesia adalah lawan yang sangat merepotkan ia bahkan menyebut skuad garuda sebagai duri dalam daging bagi timnya di kualifikasi piala dunia zona asia putaran keempat renard menunjukkan rasa hormatnya dengan,negatif
timnas indonesia mendapat peringatan dari media vietnam jelang pertandingan kedua grup b kualifikasi piala dunia zona asia timnasgas,negatif
informasinya tadi siang ketum pssi dipanggil oleh menpora menteri bertanya soal evaluasi tanding tim timnas indonesia dan meminta penjelasan tentang langkah kedepan namun karena ketum pssi juga menpora maka tanya jawab dilakukan didepan cermin ngomong sendiri lah dia cok,negatif
klo mau disalahkan strateginya jajaran pelatih timnas indonesia dalam menyusun strategi permainan dan strategi penyusunan dsp,negatif
pesan ketum pssi ke timnas indonesia segera bangkit,negatif
jelang sea games timnas u indonesia akan menjalani uji coba melawan india di stadion madya senayan jakarta pada dan oktober siapa yang akan ditunjuk jadi kapten selengkapnya,negatif
begini momen marselino ferdinan yang santai nonton timnas indonesia vs arab,negatif
danurwindo mantan pemain dan pelatih sepak bola indonesia punya prestasi seperti sebagai pemain perkuat timnas indonesia amp klub seperti arseto solo sebagai pelatih bantu raih emas sea games asisten bawa timnas lolos piala asia pertama kali dan,positif
hapus etam amp klok dari timnas indonesia,negatif
skuad pakem timnas indonesia formasi dsp pemain paes jay ridho hubner verdonk diks haye pelupessy miliano ole ragnar subs emil nadeo ernando amat shayne walsh baggot james ivar nathan egy kambuaya,negatif
indra sjafri ungkap penyebab rafael struick belum gabung tc timnas indonesia u,negatif
mantan kapten timnas voli putri indonesia itu ditunjuk sebagai asisten pelatih tim nasional voli putri untuk persiapan menghadapi sea games di bangkok thailand sc wilda volley,positif
orang indonesia pikiran orang korea orang korea mikirin timnas indo,negatif
filanesia adalah filosofi sepak bola indonesia yang dicetuskan oleh danurwindo sebagai direktur teknik pssi pada hasilnya mencakup dampak positif pada pembinaan usia muda seperti performa timnas u di piala dunia dan pembaruan kurikulum pada untuk prestasi lebih,positif
timnas indonesia ada di dasar klasemen grup b ronde keempat kualifikasi piala dunia usai keok dari arab saudi apakah masih ada peluang garuda lolos ke pentas dunia itu,negatif
geus paling bener menolak panggilan klub indonesia nyak om wkwkwk geus fokus timnas bandung we,positif
lu paham gak sih tujuan dari pembinaan sepakbola usia muda yakali tujuannya main di tim nasional tapi main diluar pakem yang diajarkan kecuali lu gak mau jebolan ekosistem sepakbola usia muda di indonesia dominan main di timnas,positif
lah muara ekosistem pembinaan sepakbola usia muda kan ke timnas masa menggunakan pakem diluar kurikulum sepakbola usia muda kecuali kalau gak menginginkan jebolan ekosistem sepakbola usia muda di indonesia main di timnas untung pssi tidak seegois ego lu,positif
sistem itu berkembang tapi rakyat ekonomi menengah kebawah yang aktif di sepakbola usia muda di indonesia belum bisa beradaptasi dengan cepat dengan pakem bek kecuali lu gak senang dengan jebolan ssb di daerah yg hanya familiar main bek untuk main di timnas,positif
kalo tahun depan ya belum bisa main walau sudah pegang paspor malaysia kecuali bermain di liga malaysia minimal th coba baca aturan fifa lagi seperti kasus ezra walian dan marc klok di indonesia sudah pegang paspor indonesia tpi tdk bisa memperkuat timnas stlh th baru bisa,positif
ya butuh transisi apalagi melawan tim dengan levelnya diatas indonesia selain itu di klub yakobyance dominan main di bek sedangkan ricky selama di timnas familiar main bek dibanding bek tapi pemain indonesia gak hanya yg saat ini main di timnas kan,positif
era sty timnas kami persib era pattrick dari bandung untuk indonesia haha kontol,negatif
nasi tlh menjadi bubur saatnya fokus menatap laga lawan irakuntuk para pemain yg kmrn bertanding vs arab saudi tetaplah semangat terlebih buat pemain yg kena hujatanampuntuk semua jajaran kepelatihan timnas indonesia waktunya bekerja lbh seriusampmeramu strategi yg jitu timnasday,positif
ternyata kendala nonteknis bukan dari pemain arab tapi dari dalam timnas indonesia,positif
udah berapa kali gua dituduh bisa nitipkan pemain ke timnas hanya karena berada di sisi ekosistem sepakbola usia muda di indonesia wajar kalau gua komplain masa kebijakan yg berpihak ke sepakbola usia muda malah ditanggapi negatif amp hanya fandom pelatih ini yg bisa melakukanya,positif
jodohmu timnas indonesia coach,positif
bek tengah timnas indonesia justin hubner akhirnya menyampaikan permintaan maaf setelah unggahannya di instagram sempat menuai sorotan tak lama set,negatif
jadwal timnas indonesia vs irak di kualifikasi piala dunia,positif
bagaimana catatan pertandingan timnas indonesia saat menghadapi arab saudi dan seperti apa peluangnya jelang laga melawan irak pada oktober mendatang,positif
mu yang cocok main bek malah pakai formasi bek timnas indonesia yang cocok main bek malah pakai formasi bek amorimout kluivertout,negatif
kenyataan cacad emang bener kan ngapa jadi bawa the jak udah paling bener timnas nya persib aja eh ini pake ikutan ke timnas indonesia jadi ancur kan semua itu gara pemain persib kalo indonesia gak lolos piala dunia hahahaha,negatif
prediksi r hasil akhir timnas indonesia arab saudi dan irak nilai samasama yang akan menentukan selisih golnya,positif
mu yang cocok main bek malah pakai formasi bek timnas indonesia yang cocok main bek malah pakai formasi bek,negatif
lah filanesia yang jadi kurikulum dasar pembinaan sepakbola usia muda di indonesia mematenkan itu kok sekalian aja lu bilang ssb yang dikelola oleh masyarakat ekonomi menengah kebawah yang gak bisa main pakem bek gak usah main di timnas beruntung pssi tidak seegois itu,positif
its not over yet asa itu masih ada masih ada harapan dan peluang demi satu mimpi semua rakyat indonesia yaitu piala dunia tetap dukung timnas apapun keadaannya once again this is not over,positif
pelatih tolol yang di puja rakyat indonesia padahal tanpa bantuan erick tohir bawa banyak diaspora ke timnas dia hanya pelatih sampah yang miskin taktik lihat aja hanya counter dan lemparan arhan yang selalu dia pakai dalam setiap pertandingan,positif
sty kan timnas indonesia,negatif
cuma di era sty gairah nonton timnas indonesia ini beneran di tunggu bagi gua kalo sekarang jangan kan nonton live lihat highlights nya aja ogah,negatif
kluivert dalam sorotan setelah racikannya tidak cukup meredam arab saudi kluivert pun berharap adanya amunisi tambahan untuk melawan irak,positif
yang lain tidur dukungan kita jangan kendur karena dukungan buat garuda nggak kenal waktu saksikan iraq indonesia di kualifikasi piala dunia oktober wib live eksklusif sportstars hd hanya di mnc vision aktifkan paket timnas oktober,negatif
eksperimen kluivert dan lineup anehyang membuat timnasindonesia tumbang di jeddah,negatif
jodohnya emang timnas indonesia balikin dah cepet,positif
momen haru pemain timnas indonesia berikan jersey untuk suporter di king abdullah stadium,negatif
catatan penting usai timnas indonesia takluk dari arab saudi piala dunia cuma tinggal mimpi,negatif
ga sabar kalo timnas indonesia ga lolos mau liat si kuch jastin ngebela gimana,positif
konten kreator arab saudi takjub dengan fanatisme suporter timnas indonesia ini gila bro,negatif
pssi saja udah lihat dan gak cocok sepakbola usia muda di indonesia terutama di daerah main dengan pakem bek makanya pssi datangin pk amp tim termasuk dirtek dari belanda,positif
untuk saat ini pakem bek filanesia yg mudah diterapkan di ekosistem sepakbola usia muda seluruh indonesia yg dominan digerakan oleh masyarakat ekonomi menengah kebawah kalau lu gak senang kenyataan ini mending sekalian saja larang jebolan grassroot indonesia main di timnas,positif
eksklusif dari arab saudi tak cuma hadir untuk memberi dukungan langsung kepada garuda para suporter timnas indonesia juga menikmati pengalaman unik mencicipi jajanan khas arab saudi di sekitar stadion bolacomid blclpt blcgoks,negatif
bahu membahu pemerintah dan timnas indonesia bersih narkoba impian kita berantasnarkoba,positif
coba dia mengundurkan diri dari pelatih timnas indonesia,negatif
program latihan talenta muda jawa tengah ini sudah menasional diharapkan setelah latihan mreka di eropa bisa dimanfaatkan timnas u oleh pssi kerja besutan kumendan patjul ini merupakan secercah harapan buat sepak bola indonesia,positif
memaksimalkan potensi pesepakbola dari ekosistem sepakbola usia muda di indonesia penitipan pemain ke timnas gini amat logika dari fanboy pelatih paling toksik sepanjang sejarah timnas indonesia wajar cuma gua yang berani ngomong soal pesepakbola muda amp sepakbola usia muda,positif
ketiga timnas indonesia kesulitan menghadapi serangan cepat arab saudi seperti dianalisis sebelumnya arab saudi langsung mengeksploitasi ruang terbuka begitu melihatnya,negatif
gak juga selama pakem yg diusung masih bek itu masih bisa dicapai oleh pesepakbola lokal indonesia apalagi dengan kepindahan pemain timnas indonesia yg naturalisasi ke liga thailand liga indonesia,positif
coba dicek apakah di skuad iraq ada pemain naturalisasi nya jika tidak ada kita malu atau tdk perlu malu mestinya right or wrong timnas kita indonesia asli,negatif
perjuangan timnas indonesia belum habis di round masih ada jalur menuju piala dunia,negatif
yang main bola tim nas indonesia itu orang dari mana sih o cuma barang import naturalisasi to ya gak harus bangga lah sama timnas kalo yg mo bangga ya silahkan aja gpp selain ijazah presden semu main bola pun kebanggan nya juga semu itulah indonesia,positif
justin hubner meminta maaf atas postingan yang bikin gaduh hubner mau jaga keharmonisan di timnas indonesia fokus laga selanjutnya lawan irak,negatif
kembali ke indonesia coach selamatkan timnas,positif
skenario timnas indonesia lolos pildun,negatif
biar kan mereka berkembang secara bertahap kalau sikap lu kayak gini jangan heran kalau tipikal manusia kayak kalian yang menjadi musuh yang nyata bagi mereka yang aktif di ekosistem sepakbola usia muda di indonesia beruntung pssi saat ini berpihak ke grassroot,positif
