clean_text,sentimen
seharusnya anda malulebih baik timnas gak lolos pildun kalau main nya kayak tarkam malu maluin negara indonesia kita bawa nama negara di kancah internasional bukan cuma bawa nama sepakbola sekali lagi seharusnya anda malu dengan keputusan memecat sty,positif
negara ini tidak kekurangan putra terbaik bangsa kalau cuman sekelas erick thohir masih banyak orang yang mumpuni untuk menahkodai pssi kalau timnas indonesia sampai gagal lolos piala dunia erick thohir harus out,positif
arya sinulingga nyebut tim kepelatihan ini terbaik yang pernah dimiliki indonesia postingan feb tapi ini subyektif tergantung ukuran prestasi kluivert punya rekam jejak bagus sebagai pemain tapi timnas baru kalah lawan arab saudi di kualifikasi piala dunia banyak,positif
menteri luar negeri menlu belanda david van weel menyampaikan permintaan maaf usai legenda sepak bola negaranya patrick kluivert belum berhasil membawa timnas indonesia menang atas arab saudi di kualifikasi piala dunia momen itu terjadi saat konferensi pers bersama,positif
the last say thanks to timnas indonesia yg udh berjuang sampai di titik ini menang atau kalah kita ttp mendukungmu we love garuda,positif
walaupun kalah dan permainan timnas kurang bagus namun beberapa pemain ini wajib kita berikan apresiasi semoga dipertandingan melawan irak kita bisa amankan poin dan lolos ke piala dunia skorkilat indonesia timnas kevindiks,positif
patrick kluivert cetak sejarah bikin timnas indonesia menang atas irak di kualifikasi piala dunia zona asia,positif
breaking mantan pelatih timnas indonesia shin taeyong resmi dipecat oleh klub korea selatan ulsan hd pada kamis usai rentetan hasil buruk yang ia dapatkan shin taeyong hanya memainkan pertandingan dan hanya meraih dua kemenangan sob,positif
rekor buruk timnas indonesia saat bertemu arab saudi cuma menang sekali dari pertemuan terakhir,positif
pelatih asal jepang marcos sugiyama menangani tim nasional bola voli putri indonesia untuk sea games,positif
skenario timnas indonesia lolos langsung meski kalah dari arab saudi syaratnya indonesia harus menang minimal selisih gol atas timnas irak pada laga terakhir kemudian arab saudi harus kalah minimal selisih gol dari irak klok zonauang timnas timnasindonesia,positif
indonesia harus puas dengan skor akhir atas arab saudi tapi perjuangan kalian luar biasa terus semangat garuda kalian sudah keren banget beranicetakgol timnas timnasday milklifesoccer milklifesoccerchallenge afc,positif
harapan legenda persebaya surabaya kurniawan dwi yulianto kirim doa terbaik untuk timnas indonesia,positif
ya kemenangan itu memang sudah lama tahun sejak itu irak menang kali dari pertemuan terakhir pertandingan terbaru irak indonesia dan semoga timnas bisa balik trennya,positif
ada jaminan tahun ke depan timnas malay dengan kualitas liga sekarang ngga akan lebih baik dari indonesia,positif
berdasarkan data dari sumber seperti v dan transfermarkt rekor pertemuan timnas indonesia senior vs irak hingga oktober pertandingan indonesia menang imbang kalah kemenangan indonesia hanya sekali pada irak dominan di pertemuan terbaru,positif
setelah hanya laga perjalanan shin taeyong bersama ulsan hyundai berakhir seperti dikutip dari rilis resmi klub ulsan hd fc sang mantan pelatih timnas indonesia itu diberhentikan usai mencatat kemenangan imbang dan kekalahan awal sempat menjanjikan namun,positif
wasit ahmed diserang karena dinilai tidak adil dalam memimpin netizen arab saudi menyebutnya sebagai musuh dengan sejarah buruk baik di level tim nasional maupun klub timnasgas,positif
ridho hubner tdk dimainkan pk serta absennya verdonkenil audero sangat terasa pertahanan timnas indonesia rapuh lawan irak pk hrs benahin strategi istirahatkan ys mk bpn krn menang harga mati utk menjaga peluang lolos langsung wc atau lanjut r timnas timnasindonesia,positif
enggak andai no no n sayuris ga dimainkan gue yakin timnas indonesia bisa meraih hasil lebih baik plus verdonk fit kelar tuh arab,positif
kalau ngomongin gol keren timnas indonesia jawabnya tendangan ke gawang arab saudi tadi malam tuh benerbener clean finish keras tepat dan penuh percaya diri mainnya makin solid garuda terus kasih yang terbaik buat merah putih timnas timnasindonesia timnasgaruda,positif
pelatih timnas indonesia patrick kluivert merasa tidak punya keluhan apapun soal wasit menurutnya pengadil lapangan asal kuwait menjalankan tugas dengan baik,positif
justin hubner rizky ridho dan jay idzes disebutsebut trio terbaik di lini belakang timnas indonesia saat ketiganya main bersama indonesia cuma kalah satu kali,positif
publik tanah air sempat meragukan netralitas wasit asal kuwait yang memimpin laga timnas indonesia vs arab saudi di kualifikasi piala dunia warganet pun meminta maaf usai sang pengadil lapangan menjalankan tugasnya dengan baik timnasgas,positif
dikata si et gampang kaliya ngebentuk timnas indonesia ini dari minus giliran udh membaik malah ganti pelatih,positif
tp kan fans bola di indonesia itu pemaaf dan cepat lupa besok indonesia menang muncul kok mereka tenang aja j dan t bukan fans timnas atau pengamat sepakbola cuma tukang jilat pantat penguasa aja spy dpt kerjaan,positif
rakyat indonesia menangis terutama fans bola dengan line up menghancurkan mimpi timnas ke piala dunia,positif
kehebatan real madrid dalam membalikkan keadaan di momenmomen genting yang biasa disebut remontada telah jadi identitas klub timnas indonesia bisa melakukannya di kualifikasi piala dunia,positif
dari sepak bola kita bisa belajar tentang suatu negara di indonesia orang yang jago menjilat cenderung akan sukses dalam karirnya awal era kluivert gt klok jelekin sty gt balik ke timnas orang modelan gini yg sebenernya gapunya kualitas timnasday timnasindonesia,positif
kluivert timnas wajib menang lawan irak tiga poin harga mati,positif
kegoblogan pelatih pk dan justin hubner rizky ridho dan jay idzes adalah trio terbaik di lini belakang timnas indonesia saat ketiganya main bersama indonesia cuma kalah satu kali,positif
timnas indonesia kehilangan sty di saat menang melawan arab trus di ganti bintang laut tanpa urgensi apapun aneh,positif
timnas indonesia takluk meski memulai dengan baik lawan arab saudi pelatih timnas patrick kluivert menyebut para pemain lawan memang sulit dijaga,positif
meski kalah dari arab saudi timnas indonesia masih punya dua skema menuju piala dunia menang lawan irak asa tetap hidup kalcerbola timnas timnasday kualifikasipialadunia iraklisbc beritasepakbola,positif
pemerintah dan timnas sepakat indonesia hebat tanpa narkoba berantasnarkoba,positif
punggawa timnas bola di indonesia menang jadi raja kalah jadi durjana,positif
timnas arab saudi menuntaskan dendam lama kepada timnas indonesia dengan kemenangan dramatis dalam laga putaran keempat grup b kualifikasi piala dunia zona asia,positif
usai kalah dari arab saudi di laga pembuka timnas garuda masih memiliki peluang lolos ke piala dunia langsung sebagai juara grup indonesia wajib menang lebih dari selisih dua gol saat melawan irak yang akan digelar pada minggu dini hari sembari berharap irak mampu,positif
patrick kluivert gagal bawa kemenangan untuk timnas indonesia menteri luar negeri belanda minta maaf,positif
terima kasih untuk semua yg telah menjadikan timnas berada dilevel seperti saat ini saatnya perkuat dukungan dan kinerja agar level timnas dapat lebih meningkat dan tidak turun kembali doa dan harapan saya yg terbaik untuk timnas indonesia,positif
arab saudi harus bermain dengan pemain melawan timnas indonesia di ronde ke kualifikasi piala dunia usai salah satu pemainnya menerima kartu kuning meski begitu tim tuan rumah tetap menang,positif
timnas indonesia mengalami dari arab saudi dalam laga putaran keempat kualifikasi piala dunia zona asia di stadion king abdullah sports city arab saudi kamis pelatih timnas indonesia patrick kluivert menilai nimnya mengawali pertandingan dengan baik tetapi,positif
pak patrick kluivert menang lawan iraq harga mati ya kalau sampai tidak menang staff pelatih harus out erick tohir dan pssi harus ultimatum tidak ada lagi tawar menawar jika perlu kalian juga harus out ekspektasi kami indonesia lolos pildun timnasday timnasindonesia,positif
herve renard puas arab saudi menang atas timnas indonesia,positif
takdir buruk bisa kita hindari kalau dalam ajaran agama islam niat giveaway yang saya lakukan di twit di bawah ini disebut nazar saya berdoa dan berjanji melakukan sesuatu jika doa saya itu terkabul saya berdoa supaya timnas indonesia menang dan jika menang saya akan,positif
diplomasi sepak bola menlu belanda minta maaf garagara timnas indonesia kalah patrick kluivert gagal menang netijen wah level permintaan maafnya sudah international nih unikbanget timnasind sepakbola,positif
resmi shin taeyong merupakan pelatih terbaik dalam sejarah timnas indonesia detikpontianak pssi bola indonesia timnas,positif
kekalahan timnas indonesia dari arab saudi menjadi sorotan tajam media vietnam thethao mereka menilai hasil tersebut menunjukkan bahwa mantan pelatih garuda shin taeyong masih lebih baik dibanding juru taktik baru patrick kluivert patrickkluivert sepakbola bolaindo,positif
andai punya waktu latihan lebih banyak timnas indonesia diyakni bisa meraih hasil lebih baik simak komentar pascalaga dari patrick kluivert setelah kekalahan dari arab saudi,positif
sepertinya mimpi untuk timnas indonesia untuk tampil di piala dunia harus dikubur dalamdalam peluang untuk lolos ogut prediksi sangat kecil sayangnya pupusnya mimpi itu sebenarnya bisa dihindari dengan game plan yang harusnya lebih baik bukan dari lawan yang superior,positif
baru sembuh dari cedera dan langsung ngasih penampilan terbaik buat timnas indonesia penampilan paes semalem benerbener dari penyelamatan paes mana nih yang menurut jmteam paling keren,positif
pelatih timnas indonesia kluivert mengaku kecewa setelah timnya menelan kekalahan dalam pertandingan putaran keempat kualifikasi piala dunia zona asia melawan arab saudi antaranews tgim kbfm radiokalimaya radiosebayamudamalangraya radioanakmuda radiodewasamuda,negatif
dari jakarta ke jeddah optimisme seputar kans timnas indonesia buat kembali kalahin arab saudi,negatif
usai kekalahan timnas indonesia shin taeyong juga dipecat ulsan hd,negatif
entahlah biarpun timnas indonesia kalah klok dan sayuri blunder pagi gini tetap ngopi untuk merefresh pikiran timnasday,negatif
waktu arab kalah sama indonesia memang pemain nya lagi bapuk ga usah mendewakan timnas seolah tim no asean,negatif
bung jose mourinho layak gantikan posisi pelatih timnas indonesia jika patrick kluivert gagal loloskan indonesia ke piala dunia sudah cukup kekalahan demi kekalahan yg diberikan oleh patrick kluivert,negatif
shin taeyong menjadi satusatunya pelatih timnas indonesia yang tidak pernah kalah di kualifikasi piala dunia melawan arab saudi arab saudi indonesia indonesia arab saudi sty pelatih timnas patrickkluivert selengkapnya,negatif
jay idzes akhirnya buka suara setelah kekalahan dramatis timnas indonesia dari arab saudi dengan skor di kualifikasi piala dunia sang kapten garuda mengungkap kesalahan fatal yang jadi titik balik kekalahan indonesia meski unggul lebih dulu fyp football football,negatif
lihatlah orang irak ini yang meremehkan tim indonesia dan bertanya kepada pemain saudi kamu tidak akan bisa mengalahkan tim indonesia yang lemah kecuali dengan susah payah jadi apa yang akan kamu lakukan melawan tim irak,negatif
berikut daftar penyebab kekalahan timnas indonesia versi saya sebagai penonton sepakbola dan juga konten kreator jika mau mendengarkan saya membahas sepakbola populer dan ingin terlibat diskusi bisa download apps atau melalui website,negatif
bro klo beckham jelek di pertandingan semalam ya udah broemg faktanya gitu hrsnya tanyain tu pelatih timnas indonesia yg ngasih role beckham disitu sesuai kemauan fans persib apa enggak,negatif
pengamat malaysia bongkar satu keputusan patrick kluivert yang bikin timnas indonesia kalah dari arab saudi apa itu,negatif
timnas indonesia kalah dari arab saudi di laga perdana grup b ronde ke kualifikasi piala dunia kamis dini hari wib gol indonesia kevin diks penalti menit amp gol arab saleh alshamat firas alburaikan penalti amp pertandingan penuh,negatif
opini penyebab timnas indonesia kalah lawan arab saudi sebuah utas setelah menonton pertandingan timnas indonesia vs arab saudi yang menguras perasaan berikut beberapa poin dari apa yang saya lihat dari pertandingan kemarin untuk timnas indonesia,negatif
jejak dulu nonton ntar iraq lebih kuat dari arab saudi timnas indonesia akan kalah jika bermai via,negatif
kekalahan dan imbang timnas indonesia belum pernah tundukkan irak,negatif
sty membawa korsel ke wc dibawa ke indonesia urus timnas garuda senior u amp u diputusin kontrak tengah jalan nah kluivert cuman timnas garuda senior lawan saudi arabia kalah gimana lawan irak kluivert gak kenal kemampuan pasukannya titik udah mentok,negatif
pelatih timnas india akui nonton kekalahan timnas indonesia saat melawan arab saudi di kualifikasi piala dunia zona asia timnasgas selengkapnya,negatif
wkakwkaka nah kan tipikal pens timnas pada umumnya kalo kalo kalo skrng kita pake logika yg sama kalo oratmangeon nyetak gol lewat open play indonesia gk akan kalah intinya sama main jelek tp bisa beda perlakuan disini yg gw liat supporter timnas kek lu gk objektif,negatif
biasanya sering stay and watch video timnas indonesia yang muncul di timeline gegara kekalahan konyol vs arab saudi kemarin jadi asal skip aja masih makdegg lihatnya,negatif
heran sama fans persib dulu ngata in timnas indonesia apalah dllada yang ingatskrg dikritik pemainnya bermain jelek kita suruh maklumin dan hargai usahanya,negatif
nah itu bang setiap ada harapan selalu di hancurin harapan itu gua gak perduli siapa pun pelatih nya gua benci aja harapan yg di dpn mata di ancurin sama orng dalam itu juga buat nikmatin timnas indonesia aja masih di ancurin harapan kita cba itu bang,negatif
indonesia harus belajar banyak dari kekalahan lawan arab saudi hari ini semangat dan kerja keras tetap nomor satu terus dukung timnas karena setiap kegagalan adalah langkah untuk bangkit lebih kuat timnasindonesia semangatmerahputih,negatif
emang pada dasarnya saat sekarang masih banyakan orang sentimen negatif sama bola indonesia timnas ataupun liga nya masih ada beberapa orang mikir ngapain nontonin indo ntar juga kalah,negatif
menteri belanda minta maaf ke fans timnas indonesia usai kekalahan dari arab saudi,negatif
bek timnas indonesia justin hubner meminta maaf atas postingan yang ia unggah di instagramnya justinhubner setelah kekalahan dari timnas arab saudi yang memancing kontroversi ia mengunggah tangkapan layar dari akun media sosial kekasihnya jennifer coppen,negatif
era sty timnas indonesia dengan skuad ala kadarnya belum bisa kalahkan timnas irak kini dengan skuad mewah mampukah patrick kluivert melakukannya live di rcti minggu dini hari pukul wib,negatif
timnas indonesia kalah tipis oleh arab saudi apakah peluang tim garuda masih ada dara timnasday push malamjumat klok paes,negatif
erick thohir sedang berdiskusi dengan erick thohir terkait kekalahan indonesia atas arab saudi serta tentang persiapan timnas melawan irak,negatif
persiapan pengambilan alih paksa podcast bandit podcast pasca kekalahan timnas indonesia lawan arab saudi,negatif
media vietnam ikut gagal paham dengan strategi patrick kluivert saat timnas indonesia kalah dari arab saudi,negatif
media amerika ini ungkap satu kelemahan timnas indonesia usai dikalahkan arab saudi,negatif
para buzzer patrick kluivert dan pembenci styshin tae yonglagi konser kekalahan timnas indonesia,negatif
berarti mundur jadi ketum pssi setelah indonesia gagal lolos pildun dong betul apa betul,negatif
faktor timnas indonesia kalah dari arab saudi pengamat game plan tak berjalan mulus,negatif
meski kalah dari arab saudi peluang timnas indonesia ke piala dunia masih terbuka meski tipis ada dua syarat utama yang harus dipenuhi agar skuad garuda bisa melaju ke putaran berikutnya bolanet timnasindonesia intrnbyn,negatif
please kembalikan formasi timnas indo ke dgn winning elevennya kasihlah alex pastor memegang kendali strategi bek patrick kluivert tidak cocok dgn para pemain timnas indonesia sudah terbukti gagal lawan australia dan arab saudi,negatif
eksperimen gagal yang terus berulang menjadi salah faktor turunnya performa timnas di ajang internasional petaka mulai muncul dengan menggantikan pemain kunci di pertahanan skuad garuda saat melawan australia,negatif
timnas indonesia kalah atas arab saudi di laga round kualifikasi piala dunia zona asia mampukan anak asuh patrick kluivert bangkit amp membuktikan mimpi ke piala dunia simak dialognya dalam rosikompastv live sesaat lagi di kompastv,negatif
mantan pelatih timnas indonesia shin taeyong resmi dipecat dari kursi pelatih ulsan hd menyusul serangkaian hasil buruk yang menimpa tim juara bertahan k league liga korea selatan baca di sini shintaeyong,negatif
mencintai timnas indonesia sejak lama sejak nonton bola taunya cm gol doang smpe skrg udh banyak tau termasuk tau resiko dari mencintai timnas indonesia itu sendiri resiko sakit hati krna kegagalan tp jujur aku udh lama ga ngerasain sesakit ini sih kali ini benaran sakit,negatif
mimpi timnas indonesia untuk mengukir sejarah dengan lolos otomatis ke piala dunia kini berada di ujung tanduk kekalahan menyakitkan dari arab saudi dalam laga perdana grup b putaran keempat kualifikasi piala dunia membuat peluang skuad garuda untuk menjadi juara,negatif
timnas indonesia melakoni laga perdana kualifikasi piala dunia ronde keempat dengan hasil buruk,negatif
timnas sepak bola indonesia kalah melawan arab full kesalahan pelatih timnas yang akan membuat timnas sepak bola indonesia pulang keindonesia membawa bendera kekalahan ticket lolos masuk piala dunia dijual pelatih timnas,negatif
ayok balas kan dendam dari kekalahan timnas indonesia mixparlay timnasindonesia garuda garudamendunia kitagaruda,negatif
ig story justin hubner yg sudah dihapus pasca kekalahan timnas indonesia dari arab saudi itu bahas tentang apakah,negatif
di cari orangorang yang paling berisik ketika timnas indonesia kalah,negatif
mark klok anj pemain jelek attitude jelek semua jelek lu gk layak di timnas indonesia bajingan,negatif
usai kekalahan timnas indonesia atas arab saudi shin taeyong malah dipecat ulsan hd,negatif
media vietnam soha ikut menyoroti kekalahan timnas indonesia kontra arab saudi pada laga pertama grup b putaran keempat kualifikasi piala dunia zona asia pialadunia timnasindonesia,negatif
pelatih timnas indonesia patrick kluivert memuji kinerja wasit ahmad al ali saat skuad garuda dikalahkan arab saudi sepakat sob bolaskorcom timnasindonesia patrickkluivert ahmedalali,negatif
berdasarkan pencarian saya tidak ada laporan terverifikasi dari sumber kredibel tentang pemain abroad timnas indonesia yang terlibat perkelahian fisik di sesi latihan justin hubner baru minta maaf atas ig storynya yang emosional pasca kalah dari arab saudi diduga sindir,negatif
mantan pelatih timnas indonesia shin taeyong resmi diputus kontrak dari kursi pelatih ulsan hd menyusul serangkaian hasil buruk yang menimpa tim juara bertahan k league liga korea selatan keputusan ini diumumkan manajemen klub pada kamis sore waktu setempat,negatif
meremehkan seluruh usaha amp perjuangan mereka selama ini hanya karena progresnya tidak secepat yg orang egois kayak lu pada bahkan pssi saja tidak seegois itu makanya fandom itu pelatih adalah fandom terburuk yang pernah ada di sepakbola indonesia karena sikap amoralnya,negatif
pukulan telak timnas indonesia kalah dari arab saudi di kualifikasi piala dunia analisis mengungkap kelemahan strategi dan eksperimen pemain yang merugikan tim,negatif
timnas indonesia kalah atas arab saudi di laga round kualifikasi piala dunia zona asia mampukan anak asuh patrick kluivert bangkit amp membuktikan mimpi ke piala dunia simak dialognya dalam rosikompastv pkl wib live di kompastv,negatif
kluivert salah taktik timnas indonesia otw gagal ke piala dunia line up aneh timnas kenapa bermain bek pergantian pemain terlambat arab suka mengulur waktu amp peluang lolos,negatif
cara timnas indonesia langsung lolos piala dunia meski kalah lawan arab saudi irak jadi kunci lewat,negatif
ole romeny comeback merumput setelah sempat lama cedera penampilannya bersama terhitung memuaskan meski timnas didera kekalahan,negatif
indonesia kalah dari arab saudi eks pemain timnas ekspektasi kita terlalu tinggi,negatif
idzes solid bahkan terlalu mewah buat ukuran timnas indonesia pelupessy memang ball winning murni jadi doi jelek kalau nyerang diks bek yang menyerang jadi doi kalau aja ditaruh bek kanan doi mungkin bisa leluasa ragnar false punya kecepatan buat counter sayang ga dapet,negatif
warganet erick thohir biang kerok kekalahan timnas indonesia,negatif
momen tak terduga terjadi dalam pertemuan bilateral di mana menteri luar negeri belanda david van weel menyampaikan permintaan maaf kepada pecinta sepak bola indonesia permintaan maaf ini terkait kekalahan timnas indonesia dari arab saudi dalam kualifikasi piala dunia,negatif
kapten timnas indonesia jay idzes tampak kesal setelah kalah dari arab saudi terutama karena garuda dirasa sangat cepat berbalik tertinggal,negatif
gue diceritain bokap klo alm kakek itu beneran gila bola klo beliau di jkt dan timnas main pasti beliau hadir di senayan pas kita kalah dari korea pas taun bokap cerita waktu itu kakek bener lesu pas pulang soman indak bakaki urang indonesia main kata beliau,negatif
kekalahan timnas indonesia dari arab saudi pada laga kualifikasi piala dunia zona asia memicu gelombang komentar di media sosial banyak netizen menganggap performa skuad garuda di bawah asuhan patrick kluivert belum mampu menandingi era kepelatihan shin taeyong sty,negatif
shin taeyong dipecat dari ulsan hd saat timnas indonesia kalah dari arab saudi lewat,negatif
kekalahan timnas indonesia melawan arab saudi turut menjadi perbincangan media luar negeri salah satu yang mengulas kekalahan skuad garuda adalah media asal korea selatan timnasgas,negatif
timnas indonesia kalah dari arab saudi di laga kualifikasi piala dunia kevin diks cetak dua gol penalti paes tampil gemilang dengan tujuh penyelamatan timnasindonesiamandiri garudamendunia worldcupqualifiers timnas indonesiavssaudiarabia,negatif
korea negara asalnya aja bisa dikalahkan sma timnas indonesia coba petrik bisa gak klo bisa gue cium tangannya si patrik bolak balik,negatif
